Judul,Tahun,Durasi,Kategori,Skor,Pengguna ,Deskripsi,Pemeran
Planet Earth II,2016,4h 58min,Documentary,9.5,"84,941",David Attenborough returns in this breathtaking documentary showcasing life on Planet Earth.,David Attenborough
Planet Earth,2006,8h 58min,Documentary,9.4,"157,437","Emmy Award-winning, 11 episodes, five years in the making, the most expensive nature documentary series ever commissioned by the BBC, and the first to be filmed in high definition.","David Attenborough, Sigourney Weaver"
Band of Brothers,2001,9h 54min,"Action, Drama, History",9.4,"345,044","The story of Easy Company of the U.S. Army 101st Airborne Division, and their mission in World War II Europe, from Operation Overlord, through V-J Day.","Scott Grimes, Damian Lewis"
Breaking Bad,2008,49min,"Crime, Drama, Thriller",9.4,"1,313,690",A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,"Bryan Cranston, Aaron Paul"
Chernobyl,2019,5h 30min,"Drama, History, Thriller",9.4,"422,259","In April 1986, an explosion at the Chernobyl nuclear power plant in the Union of Soviet Socialist Republics becomes one of the world's worst man-made catastrophes.","Jessie Buckley, Jared Harris"
Blue Planet II,2017,6h 4min,Documentary,9.3,"27,100","David Attenborough returns to the world's oceans in this sequel to the acclaimed documentary filming rare and unusual creatures of the deep, as well as documenting the problems our oceans face.","David Attenborough, Peter Drost"
The Wire,2002,59min,"Crime, Drama, Thriller",9.3,"260,583","The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.","Dominic West, Lance Reddick"
Game of Thrones,2011,57min,"Action, Adventure, Drama",9.3,"1,643,217","Nine noble families fight for control over the mythical lands of Westeros, while an ancient enemy returns after being dormant for thousands of years.","Emilia Clarke, Peter Dinklage"
Our Planet,2019,6h 43min,Documentary,9.3,"22,287","Documentary series focusing on the breadth of the diversity of habitats around the world, from the remote Arctic wilderness and mysterious deep oceans to the vast landscapes of Africa and diverse jungles of South America.",David Attenborough
Cosmos,2014,9h 17min,Documentary,9.2,"102,700",An exploration of our discovery of the laws of nature and coordinates in space and time.,"Neil deGrasse Tyson, Stoney Emshwiller"
Cosmos,1980,1h,Documentary,9.2,"33,726",Astronomer Carl Sagan leads us on an engaging guided tour of the various elements and cosmological theories of the universe.,"Carl Sagan, Jaromír Hanzlík"
Rick and Morty,2013,23min,"Animation, Adventure, Comedy",9.2,"322,309",An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,"Justin Roiland, Chris Parnell"
Avatar: The Last Airbender,2005,23min,"Animation, Action, Adventure",9.2,"207,933","In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.","Dee Bradley Baker, Zach Tyler"
The Sopranos,1999,55min,"Crime, Drama",9.2,"270,434","New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.","James Gandolfini, Lorraine Bracco"
The World at War,1973,52min,"Documentary, History, War",9.1,"20,127","A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II.","Laurence Olivier, Anthony Eden"
Life,2009,7h 53min,Documentary,9.1,"36,097","David Attenborough's legendary BBC crew explains and shows wildlife all over planet earth in 10 episodes. The first is an overview of the challenges facing life, the others are dedicated to...
                    See full summary »","Oprah Winfrey, David Attenborough"
The Vietnam War,2017,16h 30min,"Documentary, History, War",9.1,"15,981",A comprehensive history of the United States' involvement in the bitterly divisive armed conflict in Southeast Asia.,"Peter Coyote, Huy Duc"
Sherlock,2010,1h 28min,"Crime, Drama, Mystery",9.1,"747,005",A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.,"Benedict Cumberbatch, Martin Freeman"
Hagane no renkinjutsushi,2009,24min,"Animation, Action, Adventure",9.1,"100,536",Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,"Kent Williams, Iemasa Kayumi"
The Twilight Zone,1959,51min,"Drama, Fantasy, Horror",9.0,"65,616","Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner.","Rod Serling, Robert McCord"
The Beatles Anthology,1995,10h,"Documentary, Music",9.0,"6,432",An autobiographical documentary of the greatest of the rock bands.,"Paul McCartney, George Harrison"
Human Planet,2011,50min,Documentary,9.0,"22,084","Like all life forms, humanity partially adapts to types of natural environment, yet also tends to change them. Each episode examines how life differs for men and nature in some type of ...
                    See full summary »","John Hurt, Roger Munns"
The Blue Planet,2001,6h 29min,Documentary,9.0,"31,482","Mammoth series, five years in the making, taking a look at the rich tapestry of life in the world's oceans.","David Attenborough, Pierce Brosnan"
Sahsiyet,2018,1h,"Crime, Drama, Mystery",9.0,"20,782",A man diagnosed with Alzheimers decides to punish criminals.,"Haluk Bilginer, Cansu Dere"
Batman: The Animated Series,1992,23min,"Animation, Action, Adventure",9.0,"80,437",The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.,"Kevin Conroy, Loren Lester"
Firefly,2002,44min,"Adventure, Drama, Sci-Fi",9.0,"234,040","Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them.","Nathan Fillion, Gina Torres"
Frozen Planet,2011,1h,Documentary,9.0,"24,522",Focuses on life and the environment in both the Arctic and Antarctic.,"David Attenborough, Alec Baldwin"
Dekalog,1989,9h 32min,Drama,9.0,"19,800","Ten television drama films, each one based on one of the Ten Commandments.","Artur Barcis, Olgierd Lukaszewicz"
